,Answer,Type,,Size,Questions,Flags
"Some substances toxic to humans induce lassitude and torpor, whereas others incite (i) _________ or (ii) _________.

A. convulsions          D. complaints
B. contretemps          E. retching
C. apathy               F. drowsiness","A,E",Two Blank,,,,6
"Academic work can be as taxing as manual labor. The misconception that (i) _________ work strains the mind less than physical work strains the body has been proven wrong by scientific investigation as well as by anecdotal evidence. It is simply not true that the (ii) _________ musings of a mathematician are necessarily easier than the physical labor of, say, a carpenter.

A. cerebral           D. quotidian
B. intense            E. extraordinary
C. actuarial          F. intellectual","A,F",Two Blank,,,,6
"In his youth, Oscar Wilde catapulted to sudden fame both because of and despite his (i)_________ witticisms; however, the cutting remarks that won him renown also led to his financial and physical ruin, and he died (ii)_________ and sickly in a shabby Parisian hotel.

A. innovative          D. pallid
B. acerbic             E. aghast
C. inimical            F. impecunious","B,F",Two Blank,,,,6
"Indeed, it is a source of common (i) __________ among engineers, who smirk that the average layman cannot differentiate between the man who runs a locomotive and the man who designs a locomotive. In ordinary (ii) __________, both are called engineers.

A. irritation          D. parlance
B. wrath               E. colloquialism
C. amusement           F. hyperbole","C,D",Two Blank,,,,6
"Film is now widely respected as a serious art form: even Westerns, once (i)___________by most critics as patent escapism, are now commonly lauded as (ii)___________of creative expression by even the most jaded reviewers.

A. rhapsodized          D. exemplars
B. deflected            E. anomalies
C. derided              F. antitheses","C,D",Two Blank,,,,6
"Although the heralded “variance in taxation bill” at first received much  (i) __________ , it has had a (ii) ________ impact on the majority of the middle-class population, who are burdened mainly by the relatively unvarying property tax.

A. commotion           D. negligible
B. acclaim             E. necessary
C. hullabaloo          F. detrimental","B,D",Two Blank,,,,6
"Many fashions that were considered daring in their time have been so widely worn and imitated that the (i)____________ style is no longer seen as (ii)____________ .

A. proposed           D. outlandish
B. original           E. commonplace
C. revealing          F. copied","B,D",Two Blank,,,,6
"For most of North American history, eating lobster was considered a sign of (i)__________, but in the mid-1800s wealthy Bostonians developed a taste for the crustacean, earning it a reputation as a (ii)________.

A. affluence          D. rarity
B. penury             E. staple
C. salinity           F. luxury","B,F",Two Blank,,,,6
"Because the decision-making process was entirely (i)  ________ , there was no way to predict its outcome. The process was (ii) _________ rolling dice, where there are a finite number of possibilities but no way to accurately predict which two numbers will come up.

A. arbitrary           D. likened to
B. regimented          E. belittled by
C. unilateral          F. dissimilar to","A,D",Two Blank,,,,6
"Beginning in 2005, several strains of the influenza virus have been (i) __________ viruses that most likely originated in China and Vietnam. Their (ii) __________ was generated by the increase in both business and leisure travel to Asia.

A. decimated by           D. dissemination
B. decomposed in          E. derivation
C. seeded by              F. diminution","C,D",Two Blank,,,,6
"In his interesting preface, Mr. Shorthouse alludes to William Smith’s philosophical novel, Thorndale. As a picture of thought developments in the early Victorian period, the work has special historical interest for the (1) __________ and theological student; in this respect, it may be (ii) __________ to Pater’s Marius the Epicurean, which also vividly reproduces the intellectual ferment of an earlier age.

A. philosophical          D. abstracted
B. secular                E. adapted
C. antithetical           F. likened","A,F",Two Blank,,,,6
"There is a rising consensus amongst immunologists that the observed rise in allergies in the general population can be attributed to (i) ______ exposure to everyday germs. Known as the hygiene hypothesis, this counterintuitive idea could have far-reaching implications; for one, we may now have to be more (ii) ______ those paternal prescriptions to scrub our children’s hands at every opportunity.

A. frequent            D. wary of
B. decreased           E. cognizant of
C. heightened          F. indifferent to","B,D",Two Blank,,,,6
"This question is a part of The 5 lb. Book of GRE Practice Problems (2nd Ed.) - VERBAL
Known for her humorous but acerbic wit, the fashion doyenne commented, in her usual, simultaneously (i) _________ and (ii) _________ manner, that in Los Angeles, “the women dressed like men and the men dressed like boys.”

A. slanderous          D. considerate
B. amusing             E. hysterical
C. serious             F. caustic","B,F",Two Blank,,,,6
